iter	Passed	Remaining
873	2253	324
874	2255	322
875	2257	319
876	2260	317
877	2262	314
878	2265	311
879	2268	309
880	2271	306
881	2273	304
882	2276	301
883	2279	299
884	2282	296
885	2286	294
886	2289	291
887	2291	289
888	2294	286
889	2297	283
890	2300	281
891	2303	278
892	2305	276
893	2308	273
894	2311	271
895	2313	268
896	2316	265
897	2318	263
898	2321	260
899	2324	258
900	2326	255
901	2329	253
902	2331	250
903	2333	247
904	2336	245
905	2338	242
906	2341	240
907	2344	237
908	2347	234
909	2349	232
910	2352	229
911	2354	227
912	2357	224
913	2360	222
914	2362	219
915	2365	216
916	2367	214
917	2370	211
918	2372	209
919	2375	206
920	2378	203
921	2380	201
922	2383	198
923	2386	196
924	2388	193
925	2392	191
926	2395	188
927	2398	186
928	2401	183
929	2403	180
930	2406	178
931	2408	175
932	2411	173
933	2414	170
934	2417	168
935	2419	165
936	2422	162
937	2425	160
938	2427	157
939	2430	155
940	2433	152
941	2436	150
942	2439	147
943	2442	144
944	2445	142
945	2447	139
946	2449	137
947	2452	134
948	2455	131
949	2457	129
950	2460	126
951	2462	124
952	2465	121
953	2468	119
954	2471	116
955	2473	113
956	2476	111
957	2478	108
958	2481	106
959	2484	103
960	2486	100
961	2489	98
962	2491	95
963	2494	93
964	2496	90
965	2499	87
966	2502	85
967	2504	82
968	2507	80
969	2510	77
970	2512	75
971	2515	72
972	2517	69
973	2520	67
974	2522	64
975	2525	62
976	2527	59
977	2530	56
978	2532	54
979	2535	51
980	2538	49
981	2541	46
982	2543	43
983	2546	41
984	2549	38
985	2551	36
986	2554	33
987	2556	31
988	2559	28
989	2562	25
990	2565	23
991	2567	20
992	2569	18
993	2572	15
994	2575	12
995	2577	10
996	2579	7
997	2582	5
998	2584	2
999	2587	0
